n_2,Signif_0.05,Signif_0.01,Signif_0.001
1,161.45,4052.2,999
2,18.51,98.50,998.38
3,10.13,34.12,167.06
4,7.71,21.20,74.13
5,6.61,16.26,47.18
6,5.99,13.75,35.51
7,5.59,12.25,29.25
8,5.32,11.26,25.41
9,5.12,10.56,22.86
10,4.96,10.04,21.04
11,4.84,9.65,19.64
12,4.75,9.33,18.64
13,4.67,9.07,17.82
14,4.60,8.86,17.14
15,4.54,8.68,16.59
16,4.49,8.53,16.12
17,4.45,8.40,15.72
18,4.41,8.29,15.38
19,4.38,8.18,15.08
20,4.35,8.10,14.82
21,4.32,8.02,14.59
22,4.30,7.95,14.38
23,4.28,7.88,14.20
24,4.26,7.82,14.03
25,4.24,7.77,13.88
26,4.23,7.72,13.74
27,4.21,7.68,13.61
28,4.20,7.64,13.50
29,4.18,7.60,13.39
30,4.17,7.56,13.29
40,4.08,7.31,12.61
50,4.03,7.17,12.22
60,4.00,7.08,11.97
70,3.98,7.01,11.80
80,3.96,6.96,11.67
90,3.95,6.93,11.57
100,3.94,6.90,11.50
101,3.84,6.63,11.83



